username,title,year,rating,film_slug
schaffrillas,The Bad Guys 2,,,the-bad-guys-2
schaffrillas,Happy Gilmore 2,,4.0,happy-gilmore-2
schaffrillas,Smurfs,,2.0,smurfs
schaffrillas,Superman,2025.0,7.0,superman-2025
schaffrillas,KPop Demon Hunters,,7.0,kpop-demon-hunters
schaffrillas,Elio,,6.0,elio
schaffrillas,The Phoenician Scheme,,8.0,the-phoenician-scheme
schaffrillas,Mission: Impossible – The Final Reckoning,,7.0,mission-impossible-the-final-reckoning
schaffrillas,Cinderella's Castle,,6.0,cinderellas-castle
schaffrillas,Sinners,2025.0,8.0,sinners-2025
schaffrillas,A Minecraft Movie,,4.0,a-minecraft-movie
schaffrillas,Tank Fantasy,,8.0,tank-fantasy
schaffrillas,The Bad Guys: Little Lies and Alibis,,,the-bad-guys-little-lies-and-alibis
schaffrillas,Ne Zha 2,,9.0,ne-zha-2
schaffrillas,OBEX,,7.0,obex
schaffrillas,Johanne Sacreblu,,10.0,johanne-sacreblu
schaffrillas,A Complete Unknown,,6.0,a-complete-unknown
schaffrillas,Sonic the Hedgehog 3,,8.0,sonic-the-hedgehog-3
schaffrillas,Mufasa: The Lion King,,2.0,mufasa-the-lion-king
schaffrillas,Wallace & Gromit: Vengeance Most Fowl,,8.0,wallace-gromit-vengeance-most-fowl
schaffrillas,Cunk on Life,,8.0,cunk-on-life
schaffrillas,Nosferatu,2024.0,9.0,nosferatu-2024
schaffrillas,Moana 2,,5.0,moana-2
schaffrillas,Wicked,2024.0,8.0,wicked-2024
schaffrillas,Juror #2,,7.0,juror-2
schaffrillas,The Penguin,2024.0,8.0,the-penguin-2024
schaffrillas,The Wild Robot,,9.0,the-wild-robot
schaffrillas,Transformers One,,8.0,transformers-one
schaffrillas,Jane Austen Wrecked My Life,,6.0,jane-austen-wrecked-my-life
schaffrillas,Joker: Folie à Deux,,3.0,joker-folie-a-deux
schaffrillas,I'm Still Here,2024.0,8.0,im-still-here-2024
schaffrillas,The Brutalist,,6.0,the-brutalist
schaffrillas,Saturday Night,2024.0,7.0,saturday-night-2024
schaffrillas,DAN DA DAN: First Encounter,,8.0,dan-da-dan-first-encounter
schaffrillas,Nickel Boys,,8.0,nickel-boys
schaffrillas,Better Man,2024.0,6.0,better-man-2024
schaffrillas,Conclave,,5.0,conclave
schaffrillas,Beetlejuice Beetlejuice,,6.0,beetlejuice-beetlejuice
schaffrillas,Alien: Romulus,,7.0,alien-romulus
schaffrillas,Saving Bikini Bottom: The Sandy Cheeks Movie,,2.0,saving-bikini-bottom-the-sandy-cheeks-movie
schaffrillas,Baby Assassins: Nice Days,,9.0,baby-assassins-nice-days
schaffrillas,Alien: Monday,,,alien-monday
schaffrillas,Deadpool & Wolverine,,5.0,deadpool-wolverine
schaffrillas,Trap,2024.0,7.0,trap-2024
schaffrillas,My Deer Friend Nokotan,,6.0,my-deer-friend-nokotan
schaffrillas,Despicable Me 4,,5.0,despicable-me-4
schaffrillas,Memoir of a Snail,,9.0,memoir-of-a-snail
schaffrillas,Look Back,2024.0,9.0,look-back-2024
schaffrillas,Inside Out 2,2024.0,8.0,inside-out-2-2024
schaffrillas,Flow,2024.0,8.0,flow-2024
schaffrillas,Anora,,9.0,anora
schaffrillas,The Apprentice,2024.0,8.0,the-apprentice-2024
schaffrillas,The Substance,,9.0,the-substance
schaffrillas,Jim Henson Idea Man,,7.0,jim-henson-idea-man
schaffrillas,Emilia Pérez,,3.0,emilia-perez
schaffrillas,Megalopolis,2024.0,6.0,megalopolis-2024
schaffrillas,May the 12th Be with You,,1.0,may-the-12th-be-with-you
schaffrillas,Not Just a Goof,,8.0,not-just-a-goof
schaffrillas,Furiosa: A Mad Max Saga,,8.0,furiosa-a-mad-max-saga
schaffrillas,Unfrosted,,3.0,unfrosted
schaffrillas,Knuckles,2024.0,5.0,knuckles-2024
schaffrillas,How to Make Millions Before Grandma Dies,,6.0,how-to-make-millions-before-grandma-dies
schaffrillas,Challengers,,9.0,challengers
schaffrillas,Snack Shack,,7.0,snack-shack
schaffrillas,Nanoshark,,10.0,nanoshark
schaffrillas,Magic Candies,,7.0,magic-candies
schaffrillas,Kung Fu Panda 4,,5.0,kung-fu-panda-4
schaffrillas,Megamind vs. the Doom Syndicate,,1.0,megamind-vs-the-doom-syndicate
schaffrillas,Madame Web,,2.0,madame-web
schaffrillas,Taylor Tomlinson: Have It All,,8.0,taylor-tomlinson-have-it-all
schaffrillas,Dune: Part Two,,9.0,dune-part-two
schaffrillas,A Different Man,,8.0,a-different-man
schaffrillas,A Real Pain,,8.0,a-real-pain
schaffrillas,Dìdi (弟弟),2024.0,8.0,didi-2024
schaffrillas,I Saw the TV Glow,,8.0,i-saw-the-tv-glow
schaffrillas,ted,2024.0,8.0,ted-2024
schaffrillas,Pokémon Concierge,,7.0,pokemon-concierge
schaffrillas,Mooned,,7.0,mooned
schaffrillas,The Color Purple,2023.0,6.0,the-color-purple-2023
schaffrillas,Scott Pilgrim Takes Off,2023.0,9.0,scott-pilgrim-takes-off-2023
schaffrillas,The Curse,2023.0,8.0,the-curse-2023
schaffrillas,Wish,2023.0,4.0,wish-2023
schaffrillas,BLUE EYE SAMURAI,,10.0,blue-eye-samurai
schaffrillas,Godzilla Minus One,,8.0,godzilla-minus-one
schaffrillas,Chicken Run: Dawn of the Nugget,,5.0,chicken-run-dawn-of-the-nugget
schaffrillas,Poison,2023.0,9.0,poison-2023
schaffrillas,The Rat Catcher,2023.0,8.0,the-rat-catcher-2023
schaffrillas,The Swan,2023.0,8.0,the-swan-2023
schaffrillas,Sing Sing,2023.0,9.0,sing-sing-2023
schaffrillas,Dream Scenario,,9.0,dream-scenario
schaffrillas,American Fiction,,6.0,american-fiction
schaffrillas,Priscilla,,7.0,priscilla
schaffrillas,The Killer,2023.0,6.0,the-killer-2023
schaffrillas,Maestro,2023.0,6.0,maestro-2023
schaffrillas,Poor Things,2023.0,9.0,poor-things-2023
schaffrillas,The Wonderful Story of Henry Sugar,,7.0,the-wonderful-story-of-henry-sugar
schaffrillas,The Holdovers,,10.0,the-holdovers
schaffrillas,You Are So Not Invited to My Bat Mitzvah,,7.0,you-are-so-not-invited-to-my-bat-mitzvah
schaffrillas,Synthwave Horror: Nosferatu,,4.0,synthwave-horror-nosferatu
schaffrillas,Teenage Mutant Ninja Turtles: Mutant Mayhem,,7.0,teenage-mutant-ninja-turtles-mutant-mayhem
schaffrillas,The Boy and the Heron,,10.0,the-boy-and-the-heron
schaffrillas,No Disrespect,,3.0,no-disrespect
schaffrillas,Oppenheimer,2023.0,9.0,oppenheimer-2023
schaffrillas,Mission: Impossible – Dead Reckoning,,9.0,mission-impossible-dead-reckoning
schaffrillas,Barbie,,9.0,barbie
schaffrillas,"Ruby Gillman, Teenage Kraken",,3.0,ruby-gillman-teenage-kraken
schaffrillas,They Cloned Tyrone,,7.0,they-cloned-tyrone
schaffrillas,Nimona,2023.0,8.0,nimona-2023
schaffrillas,The Spider Within: A Spider-Verse Story,,7.0,the-spider-within-a-spider-verse-story
schaffrillas,Once Upon a Studio,,9.0,once-upon-a-studio
schaffrillas,Spider-Man: Across the Spider-Verse,,9.0,spider-man-across-the-spider-verse
schaffrillas,Elemental,2023.0,5.0,elemental-2023
schaffrillas,Perfect Days,2023.0,8.0,perfect-days-2023
schaffrillas,Asteroid City,,7.0,asteroid-city
schaffrillas,Anatomy of a Fall,,8.0,anatomy-of-a-fall
schaffrillas,May December,,9.0,may-december
schaffrillas,Killers of the Flower Moon,,8.0,killers-of-the-flower-moon
schaffrillas,The Zone of Interest,,6.0,the-zone-of-interest
schaffrillas,Chicken for Linda!,,8.0,chicken-for-linda
schaffrillas,Indiana Jones and the Dial of Destiny,,3.0,indiana-jones-and-the-dial-of-destiny
schaffrillas,Mars Express,,8.0,mars-express
schaffrillas,22 Rooms,,8.0,22-rooms
schaffrillas,Guardians of the Galaxy Vol. 3,,9.0,guardians-of-the-galaxy-vol-3
schaffrillas,The Owl House: Watching and Dreaming,,8.0,the-owl-house-watching-and-dreaming
schaffrillas,The Super Mario Bros. Movie,,7.0,the-super-mario-bros-movie
schaffrillas,Murder Mystery 2,,5.0,murder-mystery-2
schaffrillas,Baby Assassins 2,,7.0,baby-assassins-2
schaffrillas,Bottoms,,8.0,bottoms
schaffrillas,Dungeons & Dragons: Honor Among Thieves,,8.0,dungeons-dragons-honor-among-thieves
schaffrillas,John Wick: Chapter 4,,7.0,john-wick-chapter-4
schaffrillas,BlackBerry,2023.0,9.0,blackberry-2023
schaffrillas,The Match-Stick Flame 2: Lunada Bay,,5.0,the-match-stick-flame-2-lunada-bay
schaffrillas,Rye Lane,,9.0,rye-lane
schaffrillas,Theater Camp,2023.0,6.0,theater-camp-2023
schaffrillas,Past Lives,,8.0,past-lives
schaffrillas,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,,8.0,kaguya-sama-love-is-war-the-first-kiss-that-never-ends
schaffrillas,Babylon,2022.0,7.0,babylon-2022
schaffrillas,Avatar: The Way of Water,,6.0,avatar-the-way-of-water
schaffrillas,Puss in Boots: The Last Wish,,9.0,puss-in-boots-the-last-wish
schaffrillas,Eyeballs in the Darkness,,8.0,eyeballs-in-the-darkness
schaffrillas,The Guardians of the Galaxy Holiday Special,,8.0,the-guardians-of-the-galaxy-holiday-special
schaffrillas,Dinosaur Hotel II,,4.0,dinosaur-hotel-ii
schaffrillas,Strange World,2022.0,5.0,strange-world-2022
schaffrillas,Suzume,,7.0,suzume
schaffrillas,Zen - Grogu and Dust Bunnies,,6.0,zen-grogu-and-dust-bunnies
schaffrillas,The Soccer Football Movie,,2.0,the-soccer-football-movie
schaffrillas,Black Panther: Wakanda Forever,,7.0,black-panther-wakanda-forever
schaffrillas,Guillermo del Toro's Pinocchio,,7.0,guillermo-del-toros-pinocchio
schaffrillas,Roald Dahl's Matilda the Musical,,7.0,roald-dahls-matilda-the-musical
schaffrillas,Daddy Daughter Trip,,3.0,daddy-daughter-trip
schaffrillas,Hundreds of Beavers,,9.0,hundreds-of-beavers
schaffrillas,Entergalactic,,8.0,entergalactic
schaffrillas,The Munsters,,4.0,the-munsters
schaffrillas,Werewolf by Night,,7.0,werewolf-by-night-in-color
schaffrillas,All Quiet on the Western Front,2022.0,5.0,all-quiet-on-the-western-front-2022
schaffrillas,The Menu,2022.0,9.0,the-menu-2022
schaffrillas,The Fabelmans,,9.0,the-fabelmans
schaffrillas,Glass Onion,,9.0,glass-onion
